,Force,Force,Force,Force,Force,Force,Force,Force,Contact area percent,Contact area percent,Contact area percent,Contact area percent,Contact area percent,Contact area percent,Contact area percent,Contact area percent,Contact area,Contact area,Contact area,Contact area,Contact area,Contact area,Contact area,Contact area,Change in force,Change in force,Change in force,Change in force,Change in force,Change in force,Change in force,Change in force,Timepoints,Timepoints,Timepoints,Timepoints,Timepoints,Timepoints,Timepoints,Timepoints,Step number,Step number,Step number,Step number,Step number,Step number,Step number,Step number
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Trial title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast walking,12805.0,88.82759483929311,47.432177482238174,5.0014175517935096,54.063548507352465,86.44289634586826,119.50139914619538,288.0464518826298,12805.0,45.441334227325456,16.617763043617952,5.613305613305614,34.303534303534306,43.542435424354245,55.95026642984014,92.73885350318471,12805.0,71.50865772807498,29.394861366569867,6.967728000000001,50.580543999999996,67.612768,91.09659200000002,187.87059200000002,12805.0,4.096361259640532,4.586955335370989,0.0,1.0930536815889218,2.6355926929075033,5.392428756693671,37.57181842857757,12805.0,47.544084342053885,23.860861326618505,2.0,27.0,47.0,67.0,99.0,12805.0,2.4590394377196407,2.0055718657469552,0.0,1.0,2.0,4.0,8.0
Gravel walking,28912.0,66.57186291026653,29.211793239250394,5.0020753035091685,49.09294988165715,66.99102747704094,85.17355754182218,171.33446614816674,28912.0,48.469230795016045,17.28583057208967,1.607717041800643,36.49517684887459,48.155339805825236,61.66982922201139,92.03883495145631,28912.0,76.3935312728279,29.67420479287489,2.5806400000000003,54.709568000000004,75.612752,97.80625600000002,169.28998400000003,28912.0,2.202687802724409,1.8923591180860178,0.0,0.9022426821884392,1.7472137641781544,2.9911829900320566,21.2770524102968,28912.0,49.13337022689541,25.81568739130592,0.0,27.0,49.0,71.0,99.0,28912.0,5.394023242944106,3.8970942348586557,0.0,2.0,5.0,8.0,17.0
Jogging,14216.0,106.777645155954,71.66722333844562,5.002082442443599,47.73483767467661,100.05363228251531,153.36449357655488,395.7983944021411,14216.0,49.119945197237,20.10494271369298,5.8212058212058215,35.21440679739656,44.49022020450592,61.33772682316372,97.47399702823179,14216.0,77.54389341699493,34.51496139321874,7.225792000000001,52.64505600000001,72.25792000000001,98.322384,195.096384,14216.0,3.706582878268002,4.210263743898707,0.0,0.324958046259472,2.0463872785731603,5.95171138652521,32.86373114665874,14216.0,46.896525042205965,23.488485572901727,3.0,27.0,46.0,66.0,99.0,14216.0,3.698508722566123,3.594283658572984,0.0,1.0,3.0,5.0,17.0
Normal walking,24367.0,82.90727933730948,34.661271148846794,5.006047134518514,65.96801825956061,85.55714715697309,104.32732121879587,251.21560112063543,24367.0,48.171031109023296,17.779454901270228,4.158004158004158,36.36363636363637,46.12676056338029,61.2540192926045,93.46210995542347,24367.0,77.92924892846884,32.85214898233289,5.1612800000000005,54.45150400000001,74.580496,99.612704,188.38672,24367.0,3.1566398108093097,2.870531502102333,0.0,1.1853755500207392,2.4126509195342334,4.133258191604257,28.009924205545623,24367.0,48.28033816226864,25.014470087972175,0.0,27.0,48.0,69.0,99.0,24367.0,4.934173267123569,4.028292038155043,0.0,2.0,4.0,7.0,24.0
Slope walking,39671.0,68.08605736985751,36.41834934648125,5.006060127674064,42.784631224113916,63.41614670276671,90.00234222898635,221.69897924091498,39671.0,45.314615965879995,16.5322977660089,6.270096463022507,33.874239350912774,43.09090909090909,55.81818181818181,93.90787518573552,39671.0,73.16338500849487,28.973104087806174,10.064496,51.870864,70.451472,90.580464,183.22544000000002,39671.0,2.77940521190853,2.9547749981133684,0.0,0.8171376382101041,1.8872181212374133,3.7411802489365478,29.182575961224167,39671.0,48.41012326384513,24.881995911844097,0.0,27.0,48.0,70.0,99.0,39671.0,9.566837236268308,6.120841202577882,0.0,4.0,9.0,14.0,27.0
Slow walking,39356.0,73.50529692236418,30.082463668518674,5.003574853277063,59.04074086893375,78.31628726309968,91.92230060989327,182.3744316295452,39356.0,48.344689578721116,18.790881308885666,5.197505197505197,35.16873889875666,46.85598377281947,62.81933885670001,95.54234769687965,39356.0,80.69752293525765,36.02415031617587,6.4516,54.19344000000001,77.16113599999998,104.257856,187.612528,39356.0,2.5770043217179133,1.9575008238021792,0.0,1.1778447063881599,2.175437398150448,3.5118839964686193,19.342867499126452,39356.0,48.68815428397195,25.594242915619965,0.0,27.0,49.0,70.0,99.0,39356.0,7.4092387437747735,5.381194641443083,0.0,3.0,7.0,11.0,26.0
Stairs,27431.0,71.4700954801804,35.12809346473779,5.000484134595323,50.84860113384504,70.84117132744602,90.4684206674821,259.3504367037808,27431.0,50.66335641553217,17.602577610536592,4.357298474945534,38.17427385892116,49.44649446494465,64.29840142095915,95.15570934256053,27431.0,81.2969147647552,31.771299388875722,5.1612800000000005,58.322464,80.77403199999999,101.93528,183.48350399999998,27431.0,2.469650133079934,2.9395752799420674,0.0,0.36225418526462977,1.4211318808688713,3.549246265627148,30.225016956365884,27431.0,48.36054099376618,24.853057219140375,0.0,27.0,48.0,69.0,99.0,27431.0,5.084794575480296,3.4083851899778583,0.0,2.0,5.0,8.0,14.0
